開催場,トラックマン,券種,購入金額,払戻金,収支,回収率(%)
中京,TM14,ワイド,440700,197260,-243440,44.8
中京,TM14,単勝,73200,59380,-13820,81.1
中京,TM14,複勝,73200,58800,-14400,80.3
中京,TM14,馬単,440700,325860,-114840,73.9
中京,TM14,馬連,440700,182180,-258520,41.3
中京,TM4,ワイド,229400,118890,-110510,51.8
中京,TM4,単勝,44400,32090,-12310,72.3
中京,TM4,複勝,44400,37040,-7360,83.4
中京,TM4,馬単,229400,151730,-77670,66.1
中京,TM4,馬連,229400,101770,-127630,44.4
中京,TM5,ワイド,236400,135560,-100840,57.3
中京,TM5,単勝,44400,45370,970,102.2
中京,TM5,複勝,44400,42130,-2270,94.9
中京,TM5,馬単,236400,230550,-5850,97.5
中京,TM5,馬連,236400,135900,-100500,57.5
中京,TM6,ワイド,212000,123360,-88640,58.2
中京,TM6,単勝,44400,46910,2510,105.7
中京,TM6,複勝,44400,35100,-9300,79.1
中京,TM6,馬単,212000,145880,-66120,68.8
中京,TM6,馬連,212000,97290,-114710,45.9
中京,TM7,ワイド,146900,71350,-75550,48.6
中京,TM7,単勝,28800,26370,-2430,91.6
中京,TM7,複勝,28800,25100,-3700,87.2
中京,TM7,馬単,146900,106650,-40250,72.6
中京,TM7,馬連,146900,57420,-89480,39.1
中京,TM8,ワイド,155100,81980,-73120,52.9
中京,TM8,単勝,28800,23060,-5740,80.1
中京,TM8,複勝,28800,22930,-5870,79.6
中京,TM8,馬単,155100,129700,-25400,83.6
中京,TM8,馬連,155100,81630,-73470,52.6
中京,TM9,ワイド,161400,67670,-93730,41.9
中京,TM9,単勝,28800,18900,-9900,65.6
中京,TM9,複勝,28800,21560,-7240,74.9
中京,TM9,馬単,161400,72570,-88830,45.0
中京,TM9,馬連,161400,67500,-93900,41.8
中山,TM1,ワイド,500800,253740,-247060,50.7
中山,TM1,単勝,99500,69740,-29760,70.1
中山,TM1,複勝,99500,80410,-19090,80.8
中山,TM1,馬単,500800,349140,-151660,69.7
中山,TM1,馬連,500800,248990,-251810,49.7
中山,TM14,ワイド,605900,274940,-330960,45.4
中山,TM14,単勝,99500,77130,-22370,77.5
中山,TM14,複勝,99500,83620,-15880,84.0
中山,TM14,馬単,605900,425880,-180020,70.3
中山,TM14,馬連,605900,274980,-330920,45.4
中山,TM2,ワイド,591700,284060,-307640,48.0
中山,TM2,単勝,99500,85600,-13900,86.0
中山,TM2,複勝,99500,80320,-19180,80.7
中山,TM2,馬単,591700,578880,-12820,97.8
中山,TM2,馬連,591700,346280,-245420,58.5
中山,TM3,ワイド,624300,275480,-348820,44.1
中山,TM3,単勝,99500,76670,-22830,77.1
中山,TM3,複勝,99500,81660,-17840,82.1
中山,TM3,馬単,624300,405880,-218420,65.0
中山,TM3,馬連,624300,260530,-363770,41.7
京都,TM14,ワイド,645100,322860,-322240,50.0
京都,TM14,単勝,106600,80040,-26560,75.1
京都,TM14,複勝,106600,86330,-20270,81.0
京都,TM14,馬単,645100,439490,-205610,68.1
京都,TM14,馬連,645100,322040,-323060,49.9
京都,TM4,ワイド,566900,264130,-302770,46.6
京都,TM4,単勝,106600,83980,-22620,78.8
京都,TM4,複勝,106600,87360,-19240,82.0
京都,TM4,馬単,566900,405610,-161290,71.5
京都,TM4,馬連,566900,268000,-298900,47.3
京都,TM5,ワイド,579000,283800,-295200,49.0
京都,TM5,単勝,106600,103330,-3270,96.9
京都,TM5,複勝,106600,96580,-10020,90.6
京都,TM5,馬単,579000,487600,-91400,84.2
京都,TM5,馬連,579000,266940,-312060,46.1
京都,TM6,ワイド,517200,221700,-295500,42.9
京都,TM6,単勝,106600,81560,-25040,76.5
京都,TM6,複勝,106600,81220,-25380,76.2
京都,TM6,馬単,517200,272700,-244500,52.7
